,CNT,MATH_MEAN,slope,strength,MATH_GENDER_GAP,MATH_INDEX,RELATION_INDEX
0,Singapore,573.468314297,42.7517445669,14.9991367898,-3.27787619329,3.0,2.0
1,China,569.690319443,38.5304675981,12.4025482582,6.53355113703,3.0,3.0
2,Korea,553.766659144,42.382124784,10.6642668253,17.9208191207,3.0,3.0
3,Japan,536.406918234,41.3726021484,10.7065243755,17.8732030901,3.0,3.0
4,Liechtenstein,534.965082979,29.9203963662,8.84284987448,22.5224797794,3.0,3.0
5,Switzerland,530.93100395,36.5393990906,12.6940418782,12.8960598651,3.0,3.0
6,Netherlands,522.971758193,38.4827845502,11.2623181812,10.2287845243,3.0,3.0
7,Estonia,520.545521677,29.7273857818,9.41846689879,5.28439032992,3.0,3.0
8,Finland,518.750335283,37.5804974753,13.3714243541,-2.79459524882,3.0,2.0
9,Canada,518.070399596,31.3402603416,10.0403157264,10.1211711783,3.0,3.0
10,Poland,517.501096818,41.9306789792,19.0481047601,4.03123789355,3.0,1.0
11,Belgium,514.745238583,41.1895942694,14.4969781966,6.34174703369,3.0,2.0
12,Germany,513.52505582,43.5776212583,18.4841807185,13.5655525052,3.0,1.0
13,Massachusetts (USA),513.514056998,49.3732857409,21.1663030974,9.62354111529,3.0,1.0
14,Vietnam,511.338207501,28.7772887708,14.9859629802,9.90040738612,3.0,2.0
15,Connecticut (USA),505.775264872,50.6130588302,23.4148634742,14.4251380166,3.0,1.0
16,Austria,505.54074325,40.1540837816,14.5292381833,22.2195691568,3.0,2.0
17,Australia,504.150766311,46.4876433114,15.7304245545,12.293501078,3.0,2.0
18,Ireland,501.497460197,38.3104588429,15.9433940754,15.3300707077,3.0,2.0
19,Slovenia,501.127422391,37.7420052869,13.6136556315,3.36055313675,3.0,2.0
20,Denmark,500.026756625,39.1910881068,18.6524929679,13.9244944293,3.0,1.0
21,New Zealand,499.749902828,51.4656445758,19.1197041426,15.0544765765,2.0,1.0
22,Czech Republic,498.957882318,55.1391056159,19.9843900121,11.8068750868,2.0,1.0
23,France,494.984674321,56.5414362663,23.3712367038,8.50213607208,2.0,1.0
24,United Kingdom,493.934230896,39.4918742334,13.3826838341,12.4800423065,2.0,2.0
25,Iceland,492.795697239,30.9603126604,8.23363087492,-6.22693488548,2.0,3.0
26,Latvia,490.571021411,35.2679331175,15.6256918586,-3.86587072491,2.0,2.0
27,Luxembourg,489.845098037,36.9213430871,19.5461894454,25.0758369513,2.0,1.0
28,Norway,489.373070349,32.9069447156,8.31668933615,2.10619922812,2.0,3.0
29,Portugal,487.063181344,35.089437141,20.5572914484,11.4075643516,2.0,1.0
30,Italy,485.321181013,27.9717806257,9.19516501101,18.4051298581,2.0,3.0
31,Spain,484.319297802,32.4665258542,14.5926583929,16.4577175592,2.0,2.0
32,Russian Federation,482.169415663,38.9327550714,12.0943877873,-1.55024550386,2.0,3.0
33,Slovak Republic,481.644744006,55.3427453328,26.2210560626,9.42186781391,2.0,1.0
34,United States of America,481.366786279,35.1452089365,15.7244626525,4.65166204992,2.0,2.0
35,Lithuania,478.823277433,36.0338585534,14.8001702203,0.173594858684,2.0,2.0
36,Sweden,478.260635903,35.5970672923,11.2415467248,-2.7124704952,2.0,3.0
37,Hungary,477.044455015,45.1813006724,23.2090121079,9.08554746783,2.0,1.0
38,Croatia,471.131460759,34.5391673099,12.0705302158,11.5576876726,2.0,3.0
39,Florida (USA),466.803290749,34.9385150016,14.5758737994,14.1125825342,2.0,2.0
40,Israel,466.481430149,49.8855085811,18.3749242258,11.6485240677,2.0,2.0
41,Greece,452.973426859,34.1718988507,16.4063744525,8.05433447455,2.0,2.0
42,Serbia,448.859130248,32.9671849244,11.7002963755,9.15283940205,1.0,3.0
43,Turkey,447.984414979,32.5377935808,15.9482987654,7.9858707464,1.0,2.0
44,Romania,444.554242788,37.7219302161,21.0420776394,3.83904684752,1.0,1.0
45,Bulgaria,438.738259877,41.8258822937,22.8595624066,-2.46141995928,1.0,1.0
46,United Arab Emirates,434.007164658,33.886770831,11.1761344776,-4.88555308237,1.0,3.0
47,Kazakhstan,431.798408505,26.5453945956,8.83917215767,0.483766381022,1.0,3.0
48,Thailand,426.737491293,33.3187459349,22.8225606134,-13.5837194225,1.0,1.0
49,Chile,422.632355406,40.1483028619,35.2029052079,24.9813660669,1.0,1.0
50,Malaysia,420.512967619,29.8143317395,14.646804057,-7.80533268957,1.0,2.0
51,Mexico,413.281466668,18.5860754488,10.9398162838,13.9837414261,1.0,3.0
52,Montenegro,409.626613284,31.4627416183,13.0506605062,0.141130966252,1.0,2.0
53,Uruguay,409.291567938,36.6037689069,24.1187050307,11.4076103187,1.0,1.0
54,Costa Rica,406.999866989,22.4473291324,18.9112670353,23.6274746523,1.0,1.0
55,Brazil,388.508963338,25.6717800616,16.9880877165,16.6791954572,1.0,2.0
56,Argentina,388.431709907,30.626587818,20.6869765467,13.8536085311,1.0,1.0
57,Tunisia,387.82462962,21.7374433905,13.7988851846,15.2187382263,1.0,2.0
58,Jordan,385.595556396,19.9977905266,8.34686407322,-20.7421205144,1.0,3.0
59,Colombia,376.488601073,27.2544842052,18.3931737697,25.4665382534,1.0,1.0
60,Qatar,376.448398635,26.5029327765,6.08578536911,-15.9224992764,1.0,3.0
61,Indonesia,375.114451682,17.9614391467,8.8919096632,4.5909915011,1.0,3.0
62,Peru,368.102547127,32.3775356126,24.4821372552,18.895902868,1.0,1.0
63,AVERAGE,471.64224366,,15.7149720833,,,
